Source_IP,Source_port,Destination_IP,Destination_port,Protocol,Timestamp,fwd_packets_amount,bwd_packets_amount,fwd_packets_length,bwd_packets_length,max_fwd_packet ,min_fwd_packet,max_bwd_packet,min_bwd_packet,FIN_count,SYN_count,RST_count,PSH_count,silence_windows,min_fwd_inter_arrival_time,max_fwd_inter_arrival_time,mean_fwd_inter_arrival_time,min_bwd_inter_arrival_time,max_bwd_inter_arrival_time,mean_bwd_inter_arrival_time,min_bib_inter_arrival_time,max_bib_inter_arrival_time,mean_bib_inter_arrival_time,first_packet_sizes_0,first_packet_sizes_1,first_packet_sizes_2,first_packet_sizes_3,first_packet_sizes_4,first_packet_sizes_5,first_packet_sizes_6,first_packet_sizes_7,first_packet_sizes_8,first_packet_sizes_9,first_packet_sizes_10,first_packet_sizes_11,first_packet_sizes_12,first_packet_sizes_13,first_packet_sizes_14,first_packet_sizes_15,first_packet_sizes_16,first_packet_sizes_17,first_packet_sizes_18,first_packet_sizes_19,first_packet_sizes_20,first_packet_sizes_21,first_packet_sizes_22,first_packet_sizes_23,first_packet_sizes_24,first_packet_sizes_25,first_packet_sizes_26,first_packet_sizes_27,first_packet_sizes_28,first_packet_sizes_29,min_packet_size,max_packet_size,mean_packet_size,STD_packet_size,mean_delta_byte,STD_delta_byte,bandwidth_0,bandwidth_1,bandwidth_2,bandwidth_3,bandwidth_4,bandwidth_5,bandwidth_6,bandwidth_7,bandwidth_8,bandwidth_9,bandwidth_10,bandwidth_11,bandwidth_12,bandwidth_13,bandwidth_14,bandwidth_15,bandwidth_16,bandwidth_17,bandwidth_18,bandwidth_19,bpp_0,bpp_1,bpp_2,beaconning_0,beaconning_1,beaconning_2,beaconning_3,beaconning_4,beaconning_5,beaconning_6,beaconning_7,beaconning_8,beaconning_9,beaconning_10,beaconning_11,beaconning_12,beaconning_13,beaconning_14,beaconning_15,beaconning_16,beaconning_17,beaconning_18,beaconning_19,pps_fwd,pps_bwd,count_big_requests,ACK_count,label
10.100.102.20,58158,194.90.196.141,443,tcp,1726537924.57183,1738,2257,7,9,1334,60,1506,60,1,2,0,3,3,0.0,11.7928280830383,0.03454657487134,0.0,11.8989419937134,0.026599912343429,0.0,11.8989419937134,0.030057058644683,66,-66,60,1334,523,-60,-1506,-1506,-1506,-212,60,118,-60,-66,-60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1506,453.9375,594.442014492373,371.6,530.355830237273,0,65020,245,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7077,120,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116572361255156,0.149878750185201,2,15,VOD
10.10.0.127,56315,185.226.52.170,443,tcp,1728385061.14086,829,1890,18,77,2163,60,1434,60,1,2,1,41,3,0.0,0.022836923599243,0.001240705839831,0.0,0.01915192604065,0.000552510584473,0.0,0.022836923599243,0.000762335471083,66,-66,60,1844,-60,-1434,-1434,60,-271,134,851,-60,-333,-60,-333,-602,-1434,-1434,-1434,-1434,60,-1434,-1434,60,-1434,60,-1434,-1434,-1434,60,60,1844,1099.64210526316,579.322470255501,429.0,623.696513077901,0,63728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9736183647774,166.720478560437,2,94,VOD
10.10.0.127,54316,95.142.206.162,443,tcp,1728382862.79355,1283,2211,14,27,2164,60,1434,60,1,2,1,15,4,5.96046447753906e-06,0.662826061248779,0.001926983694313,0.0,0.659671068191528,0.001075685752134,0.0,0.662826061248779,0.001388283136168,66,-66,60,1876,-60,-60,-1434,-1434,60,-581,134,868,-60,-333,-333,60,-60,-344,-1434,60,-1434,-1434,60,-1434,-1434,60,-1434,-1434,60,-1434,60,1876,762.268292682927,666.603697105444,751.3,657.730575539863,0,64348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29185,2002,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38430261686978,18.0982979039631,2,40,VOD
192.168.1.25,55401,213.57.24.217,443,tcp,1726187620.18008,1,0,7,9,2145,60,1514,60,3,2,0,5,5,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,-66,60,2145,-60,-324,134,-60,-357,60,-78,-60,-60,60,60,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2145,231.875,502.390893005636,355.6,687.316210585298,0,63727,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3332,258,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332690353859748,0.427744740676818,1,15,VOD
10.100.102.20,63621,212.29.228.15,443,tcp,1726531687.61271,1079,1510,10,9,1334,60,1506,60,1,2,0,3,5,0.0,13.2717111110687,0.057256090740455,0.0,13.3231921195984,0.040895832453343,0.0,13.3231921195984,0.047714186525106,66,-66,60,1334,619,-60,-1506,-210,-1506,-1506,66,66,60,118,-60,60,-66,60,-60,0,0,0,0,0,0,0,0,0,0,0,60,1506,397.315789473684,565.336048422024,453.666666666667,590.327592669245,0,65020,244,244,244,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7303,126,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161791521522115,0.145612369369904,2,18,VOD
10.10.0.127,62717,128.139.200.12,443,tcp,1728441350.16137,18,19,9,10,2115,60,1434,60,0,2,0,6,1,4.10079956054688e-05,45.0112509727478,2.50309799777137,0.0,45.0158421993256,2.37123253470973,0.0,45.0158421993256,2.4353833005235,66,-66,60,1896,-60,-1434,-1434,-1434,-428,60,118,2029,78,-60,-1434,-1152,60,60,-66,0,0,0,0,0,0,0,0,0,0,0,60,2029,631.315789473684,722.911223539318,728.777777777778,775.992808926844,0,65023,225,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11869,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199732992228402,0.221925546920446,2,18,VOD
10.100.102.20,53903,212.29.228.16,443,udp,1726535718.52491,295,373,19,21,1292,73,1292,63,0,0,0,10,8,0.0,3.22875595092773,0.025479352272163,0.0,3.55155801773071,0.020090852921514,0.0,3.55155801773071,0.022470504580858,1292,1292,-1292,-1292,-1292,-1173,-1292,82,125,113,747,137,196,-158,-573,75,-69,73,-175,-69,-63,-63,78,79,73,-67,-67,74,-68,116,63,1292,325.225,456.372024093283,106.48717948718,241.692946948944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12149,628,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51068991647928,2.77497306558236,3,38,VOD
10.100.102.20,52741,74.125.8.233,443,udp,1726526748.26115,184,203,25,18,1334,60,1506,60,0,0,0,0,9,0.0,3.18980598449707,0.030780956796978,0.0,3.26746392250061,0.027263009489464,0.0,3.26746392250061,0.028935625263579,1292,1292,-1292,-1292,81,79,-1292,-1292,-1280,81,125,114,1288,253,835,83,82,117,117,82,82,-1292,-151,204,1292,-158,-572,-65,-70,-70,65,1292,401.790697674419,507.475858430932,306.928571428571,474.200901409897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.7613372127315,52.3881627931667,7,43,VOD
10.10.0.127,53329,45.136.22.132,443,tcp,1728381821.83426,278,620,82,141,2163,60,1434,60,1,2,1,75,8,9.05990600585938e-06,0.035129070281983,0.002804945698745,0.0,0.033179044723511,0.001257430738018,0.0,0.035129070281983,0.001736505525415,66,-66,60,1812,-60,-1434,-1434,-270,60,134,855,-60,-333,-60,-333,60,-657,-1434,60,-1434,-1434,-1434,60,-1434,60,-1434,-1434,60,-1434,-1434,60,1812,887.910313901345,658.80173942296,882.936936936937,634.294930679816,0,32120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197938,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.3359972473309,124.382629413093,4,222,VOD
10.10.0.127,52694,95.142.206.173,443,tcp,1728381363.93941,1380,2415,921,1497,2164,60,1434,60,1,2,1,567,8,5.00679016113281e-06,0.06992506980896,0.001330360122349,0.0,0.096726179122925,0.000731912162733,0.0,0.096726179122925,0.000949529602594,66,-66,60,2164,-60,-60,-310,134,852,-60,-60,-639,-1434,60,-1434,-1434,60,-1434,-1434,60,-1434,-1434,60,-1434,-1434,60,-1434,60,-1434,-1434,60,2164,911.863110008271,660.656885957729,1001.19404220108,597.897660066672,0,64348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269511,935308,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614.399804560323,998.649845197398,3,2417,VOD
